Unique Identifier,Facility,Facility Key,Market Key,Market,Region Key,Region
Lafayette - Abbeville,Abbeville,ABV,SE_LFYT,Lafayette,R_SE,Southeast
New Orleans - Algiers,Algiers,ALG,SE_NOR,New Orleans,R_SE,Southeast
Las Vegas - Aliante,Aliante,ALI,SW_LV,Las Vegas,R_SW,Southwest
San Diego - Alpine,Alpine,ALP,CA_SD,San Diego,R_CA,California
Kansas - Augusta,Augusta,AUG,CEN_KS,Kansas,R_CEN,Central
Orange County - Aliso Viejo (AV),Aliso Viejo (AV),AVJ,CA_OC,Orange County,R_CA,California
Tulsa - Broken Arrow,Broken Arrow,BAR,CEN_TLSA,Tulsa,R_CEN,Central
Arizona - Bell,Bell,BEL,SW_AZ,Arizona,R_SW,Southwest
Arizona - Benson,Benson,BEN,SW_AZ,Arizona,R_SW,Southwest
NW Arkansas - Berryville,Berryville,BER,CEN_NWA,NW Arkansas,R_CEN,Central
Las Vegas - South West,South West,BLU,SW_LV,Las Vegas,R_SW,Southwest
Omaha - Belleview,Belleview,BLV,CEN_OMH,Omaha,R_CEN,Central
Tulsa - Braden,Braden,BRD,CEN_TLSA,Tulsa,R_CEN,Central
Baton Rouge - Baton Rouge,Baton Rouge,BTR,SE_BTR,Baton Rouge,R_SE,Southeast
Arizona - Buckeye,Buckeye,BUK,SW_AZ,Arizona,R_SW,Southwest
Rhode Island - Burriville,Burriville,BUR,NE_RI,Rhode Island,R_NE,New England
NW Arkansas - Bentonville,Bentonville,BVL,CEN_NWA,NW Arkansas,R_CEN,Central
Omaha - Council Bluffs,Council Bluffs,CBL,CEN_OMH,Omaha,R_CEN,Central
Las Vegas - Ernest May,Ernest May,CEN,SW_LV,Las Vegas,R_SW,Southwest
Kansas - Coffeeville,Coffeeville,CFV,CEN_KS,Kansas,R_CEN,Central
Arizona - Chandler,Chandler,CHD,SW_AZ,Arizona,R_SW,Southwest
Oklahoma City - Choctaw,Choctaw,CHO,CEN_OKC,Oklahoma City,R_CEN,Central
Hampton Roads - Chesapeake,Chesapeake,CHS,VA_HTR,Hampton Roads,R_VA,Virginia
San Diego - Chula Vista,Chula Vista,CHU,CA_SD,San Diego,R_CA,California
Tulsa - Claremore,Claremore,CLA,CEN_TLSA,Tulsa,R_CEN,Central
Oklahoma City - County Line,County Line,CLH,CEN_OKC,Oklahoma City,R_CEN,Central
New Orleans - Clearview,Clearview,CLR,SE_NOR,New Orleans,R_SE,Southeast
Cleveland - Cleveland,Cleveland,CLV,NE_CLVD,Cleveland,R_NE,New England
Rhode Island - Cranston,Cranston,CRN,NE_RI,Rhode Island,R_NE,New England
Gulf Coast - Crestview,Crestview,CRV,SE_GC,Gulf Coast,R_SE,Southeast
Lafayette - Crowley,Crowley,CRW,SE_LFYT,Lafayette,R_SE,Southeast
Arizona - Casa Grande,Casa Grande,CSG,SW_AZ,Arizona,R_SW,Southwest
Kansas - Derby,Derby,DBY,CEN_KS,Kansas,R_CEN,Central
Kansas - Dodge City,Dodge City,DCY,CEN_KS,Kansas,R_CEN,Central
Gulf Coast - Destin,Destin,DES,SE_GC,Gulf Coast,R_SE,Southeast
Orange County - Dana Point (DP),Dana Point (DP),DNP,CA_OC,Orange County,R_CA,California
Baton Rouge - Denham Springs,Denham Springs,DNS,SE_BTR,Baton Rouge,R_SE,Southeast
Northern Va - Dranesville,Dranesville,DRA,VA_NVA,Northern Va,R_VA,Virginia
